Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,âˆšx (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,77.62,14.87,4.911,-0.33961,8.700e-3,0.012,0.0054,5201.778,1.958e-4,1.958e-4,1.958e-4,0_1:5.596e-3,0_1:384
Q1,74.34,13.45,4.835,-0.3245,1.620e-2,0.0254,0.007,5201.778,2.040e-4,2.040e-4,2.040e-4,1_4:9.901e-3; 1_2:9.124e-3; 1_0:5.596e-3,1_4:526.222; 1_2:568.889; 1_0:419.556
Q2,78.91,102.41,4.982,-0.34,1.070e-2,0.0122,0.0092,5201.778,2.293e-4,2.293e-4,2.293e-4,2_3:5.355e-3; 2_1:9.124e-3,2_3:405.333; 2_1:533.333
Q3,73.92,72.07,5.105,-0.33534,7.700e-3,0.0076,0.0078,5201.778,1.987e-4,1.987e-4,1.987e-4,3_5:7.347e-3; 3_2:5.355e-3,3_5:398.222; 3_2:369.778
Q4,89.57,121.84,5.004,-0.33834,1.520e-2,0.0182,0.0122,5201.778,2.065e-4,2.065e-4,2.065e-4,4_7:1.452e-2; 4_1:9.901e-3,4_7:284.444; 4_1:561.778
Q5,39.96,58.95,5.033,-0.3374,1.320e-2,0.018,0.0084,5201.778,3.543e-4,3.543e-4,3.543e-4,5_8:8.816e-3; 5_3:7.347e-3,5_8:355.556; 5_3:362.667
Q6,131.81,21.42,4.95,-0.38998,6.010e-2,0.0428,0.0774,5201.778,5.713e-3,5.713e-3,5.713e-3,6_7:5.891e-2,6_7:526.222
Q7,69.98,65.31,4.907,-0.32316,6.390e-2,0.0602,0.0676,5201.778,5.404e-4,5.404e-4,5.404e-4,7_10:5.228e-2; 7_6:5.891e-2; 7_4:1.452e-2,7_10:590.222; 7_6:490.667; 7_4:320
Q8,76.51,122.62,4.908,-0.32449,1.300e-2,0.015,0.011,5201.778,3.819e-4,3.819e-4,3.819e-4,8_5:8.816e-3; 8_11:1.015e-2; 8_9:9.472e-3,8_5:391.111; 8_11:483.556; 8_9:405.333
Q9,72.78,75.29,5.045,-0.33805,1.410e-2,0.0214,0.0068,5201.778,5.061e-4,5.061e-4,5.061e-4,9_8:9.472e-3,9_8:369.778
Q10,55.97,60.34,5.082,-0.33695,9.400e-3,0.0156,0.0032,5201.778,3.398e-4,3.398e-4,3.398e-4,10_7:5.228e-2; 10_12:7.440e-3,10_7:554.667; 10_12:412.444
Q11,101.89,54.43,5.034,-0.33745,1.530e-2,0.0174,0.0132,5201.778,2.278e-4,2.278e-4,2.278e-4,11_14:6.161e-3; 11_8:1.015e-2,11_14:341.333; 11_8:448
Q12,102.82,137.91,4.972,-0.32198,3.120e-2,0.0484,0.014,5201.778,3.352e-4,3.352e-4,3.352e-4,12_13:7.244e-3; 12_10:7.440e-3; 12_15:1.145e-2,12_13:391.111; 12_10:376.889; 12_15:405.333
Q13,69.13,75.88,4.868,-0.34049,9.500e-3,0.0128,0.0062,5201.778,1.985e-4,1.985e-4,1.985e-4,13_12:7.244e-3; 13_14:8.227e-3,13_12:426.667; 13_14:490.667
Q14,88.81,87.57,4.961,-0.32323,1.050e-2,0.0162,0.0048,5201.778,1.804e-4,1.804e-4,1.804e-4,14_11:6.161e-3; 14_16:6.677e-3; 14_13:8.227e-3,14_11:376.889; 14_16:355.556; 14_13:526.222
Q15,99.01,105.53,5.034,-0.33837,1.170e-2,0.0168,0.0066,5201.778,5.471e-4,5.471e-4,5.471e-4,15_18:2.047e-2; 15_12:1.145e-2,15_18:597.333; 15_12:369.778
Q16,86.89,68.9,5.086,-0.33732,8.400e-3,0.0128,0.004,5201.778,4.691e-4,4.691e-4,4.691e-4,16_19:1.133e-2; 16_14:6.677e-3,16_19:270.222; 16_14:320
Q17,91.4,113.46,5.072,-0.33818,1.910e-2,0.0256,0.0126,5201.778,6.429e-4,6.429e-4,6.429e-4,17_18:1.218e-2,17_18:348.444
Q18,63.43,27.79,4.981,-0.32616,2.720e-2,0.034,0.0204,5201.778,3.572e-4,3.572e-4,3.572e-4,18_21:1.514e-2; 18_15:2.047e-2; 18_17:1.218e-2,18_21:440.889; 18_15:632.889; 18_17:384
Q19,58.83,93.58,4.983,-0.32129,1.100e-2,0.0158,0.0062,5201.778,2.378e-4,2.378e-4,2.378e-4,19_22:6.748e-3; 19_16:1.133e-2; 19_20:6.130e-3,19_22:327.111; 19_16:305.778; 19_20:355.556
Q20,88.26,116.68,5.082,-0.33766,7.800e-3,0.0112,0.0044,5201.778,2.074e-4,2.074e-4,2.074e-4,20_19:6.130e-3,20_19:320
Q21,89.5,27.65,5.073,-0.30766,5.030e-2,0.0688,0.0318,5201.778,8.877e-4,8.877e-4,8.877e-4,21_18:1.514e-2; 21_23:1.942e-2,21_18:405.333; 21_23:426.667
Q22,90.07,150.81,5.057,-0.3385,2.280e-2,0.033,0.0126,5201.778,2.756e-4,2.756e-4,2.756e-4,22_19:6.748e-3; 22_25:2.463e-2,22_19:291.556; 22_25:611.556
Q23,80.57,46.37,4.973,-0.33732,1.170e-2,0.0168,0.0066,5201.778,1.787e-4,1.787e-4,1.787e-4,23_21:1.942e-2; 23_24:6.452e-3,23_21:391.111; 23_24:405.333
Q24,83,70.78,5.052,-0.33791,1.290e-2,0.0176,0.0082,5201.778,2.226e-4,2.226e-4,2.226e-4,24_23:6.452e-3; 24_25:2.173e-2,24_23:440.889; 24_25:376.889
Q25,97.26,79.02,4.934,-0.32286,7.300e-3,0.0114,0.0032,5201.778,2.077e-4,2.077e-4,2.077e-4,25_22:2.463e-2; 25_26:9.770e-3; 25_24:2.173e-2,25_22:576; 25_26:483.556; 25_24:412.444
Q26,79.65,159.97,5,-0.33942,1.180e-2,0.0182,0.0054,5201.778,2.118e-4,2.118e-4,2.118e-4,26_25:9.770e-3,26_25:519.111
